init_joint_angles,x_target,y_target,Theta,iter_count,cost
[-2.47502883  0.8474106   1.71317476],0.9999999999999999,0.0,"[[  6.01261745  -4.4867893  -11.65465108]
 [  6.8173749   -0.2636031    5.31197516]
 [  6.75830598  -0.17467107  -3.2228001 ]
 [ -4.25497469   0.14448337  -3.35150551]
 [  1.29109797  -1.87628796   3.92199235]]",45,0.03444064431804596
[-2.47502883  0.8474106   1.71317476],0.9238795325112866,0.3826834323650897,"[[  7.4428025   -4.43671684 -11.37793513]
 [  7.57342658  -0.52608468   5.47202506]
 [  6.81877271  -0.43616539  -2.87157658]
 [ -3.47270844  -0.09153881  -3.37814723]
 [  1.66425427  -2.31067317   3.87415604]]",8,0.45097773889951426
[-2.47502883  0.8474106   1.71317476],0.7071067811865475,0.7071067811865474,"[[  8.1029258   -3.23186002 -10.20895906]
 [  7.84435937   0.16151415   5.39023357]
 [  7.72259294  -0.33529919  -2.53351985]
 [ -3.56079673  -0.57808438  -3.17255626]
 [  2.09769809  -2.51181869   4.42693221]]",18,0.7186797502049109
[-2.47502883  0.8474106   1.71317476],0.3826834323650898,0.9238795325112866,"[[  9.38996645  -2.80571353 -12.22892395]
 [  8.70477141   0.8511989    5.23670679]
 [  7.55555152   0.47027739  -2.86165051]
 [ -3.70071272  -0.617989    -2.75154311]
 [  2.36786731  -3.123527     4.24874814]]",13,1.0843209637223912
[-2.47502883  0.8474106   1.71317476],6.123233995736765e-17,0.9999999999999999,"[[ 10.37855685  -3.29439382 -12.11473278]
 [  9.57317589   1.37569859   5.50582404]
 [  8.21456363   0.31015626  -2.71293425]
 [ -3.05862837  -0.8251113   -2.53400344]
 [  2.73734461  -3.05961505   4.77961768]]",14,1.4865252761595764
[-2.47502883  0.8474106   1.71317476],-0.38268343236508967,0.9238795325112866,"[[ 11.09010057  -3.43245424 -12.04919495]
 [ 10.45218998   1.39989471   5.88959844]
 [  8.64337474   0.80746691  -2.56510796]
 [ -2.22806652  -0.61392154  -2.01303409]
 [  3.29295697  -3.24507983   4.98953704]]",13,1.8813212431621222
[-2.47502883  0.8474106   1.71317476],-0.7071067811865474,0.7071067811865475,"[[ 11.90714483  -3.06203385 -12.77134455]
 [ 11.61143543   1.23468079   6.10397997]
 [  9.27514285   0.5663743   -2.52384499]
 [ -1.88265857  -0.51644367  -2.08536599]
 [  2.64392523  -2.58213969   4.9804447 ]]",17,2.2810742489641287
[-2.47502883  0.8474106   1.71317476],-0.9238795325112866,0.3826834323650898,"[[ 13.10922787  -3.14484596 -12.47942435]
 [ 12.26433521   0.63815773   6.11746883]
 [ 10.31675216   0.56164998  -2.46127538]
 [ -1.80301308  -0.2045581   -2.13826503]
 [  2.96550891  -2.20680144   5.07045521]]",15,2.6719499803120206
[-2.47502883  0.8474106   1.71317476],-0.9999999999999999,1.224646799147353e-16,"[[ 14.39292263  -3.05216126 -13.79793709]
 [ 12.52286071   0.74869639   5.60415553]
 [ 11.32043213   0.54010921  -2.03334258]
 [ -1.39535243  -0.3234892   -1.89081284]
 [  3.27362164  -1.66232273   4.97747283]]",11,3.075090855736909
[-2.47502883  0.8474106   1.71317476],-0.9238795325112866,-0.3826834323650896,"[[ 15.27584708  -2.52365457 -13.73058481]
 [ 13.44548881   0.27667217   5.71010697]
 [ 12.22984177   0.81852964  -2.36010981]
 [ -1.18730291  -0.29641694  -2.19914212]
 [  2.86674598  -1.15803189   4.55994284]]",14,3.4792661789890813
[-2.47502883  0.8474106   1.71317476],-0.7071067811865476,-0.7071067811865474,"[[ 16.63790751  -2.67550068 -13.76623611]
 [ 14.07593919   0.65300054   5.95334063]
 [ 12.16821205   0.57781082  -2.42594862]
 [ -0.33742129  -0.56678077  -1.7170686 ]
 [  3.05397645  -1.23190219   4.45144854]]",11,3.8729014610541155
[-2.47502883  0.8474106   1.71317476],-0.38268343236508945,-0.9238795325112867,"[[ 17.54710006  -4.01774757 -12.97345926]
 [ 14.8949161    1.58069582   5.63304046]
 [ 13.34170282   1.0776383   -2.32794639]
 [ -0.43825906   0.17798223  -1.77420303]
 [  2.77993009  -0.85400266   4.95014735]]",15,4.271495294622317
[-2.47502883  0.8474106   1.71317476],-1.8369701987210294e-16,-0.9999999999999999,"[[ 19.15171139  -4.41851714 -12.47707839]
 [ 14.98748695   1.76833011   5.56110599]
 [ 13.85357196   0.80195559  -2.46577358]
 [  0.73386086   0.3454927   -2.33280667]
 [  2.30101888  -1.14915069   4.78122603]]",16,4.679032790657126
[-2.47502883  0.8474106   1.71317476],0.38268343236508995,-0.9238795325112865,"[[ 19.92697592  -4.55081123 -12.40317233]
 [ 16.88356074   1.91846861   5.53715195]
 [ 13.89933065   0.64299379  -2.7683941 ]
 [  0.55930435   0.2995809   -2.72065974]
 [  2.80322256  -1.26609259   4.90596546]]",9,5.073402686451468
[-2.47502883  0.8474106   1.71317476],0.7071067811865474,-0.7071067811865476,"[[ 21.03407192  -4.75056848 -12.80189479]
 [ 17.90731991   2.09179548   6.24780518]
 [ 14.12651123   1.09347056  -2.88114184]
 [  0.93288534   0.13340746  -2.97708625]
 [  2.90832953  -1.07409007   5.18274067]]",15,5.467662824384347
[-2.47502883  0.8474106   1.71317476],0.9238795325112867,-0.3826834323650895,"[[ 2.34935306e+01 -4.86042557e+00 -1.35534712e+01]
 [ 1.81538993e+01  1.90578133e+00  6.23116084e+00]
 [ 1.36192901e+01  1.89151465e+00 -3.20991547e+00]
 [ 1.03491609e+00  8.95568495e-03 -3.49176349e+00]
 [ 1.84814535e+00 -6.48010621e-01  5.28263747e+00]]",21,5.877315801099072
[-2.47502883  0.8474106   1.71317476],0.9999999999999999,-2.449293598294706e-16,"[[ 24.62965263  -4.66998815 -11.90077967]
 [ 18.68746022   1.69772392   5.17956646]
 [ 14.5241227    1.83870319  -3.89498501]
 [  1.50572703  -0.05676084  -4.69705758]
 [  1.54520611  -0.88447168   5.45709876]]",8,6.280104481500297
